Sampling Event ID,Capture Year,Capture Date,Round,Site,Patch,Height,Bowl Position,Bowl Color,Bowl Size,Bowl Status,Specimen ID,Family,Genus,Species,Sex,Number,Pinned,
42,2018,6.04,R1,KLN,KLN-W,High,P1,Blue,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
42,2018,6.04,R1,KLN,KLN-W,Low,P1,Blue,3.25oz,Retrieved,1654,Halictidae,Augochlorella,aurata,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P1,Blue,3.25oz,Retrieved,1655,Megachilidae,Osmia,georgica,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,High,P2,White,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
42,2018,6.04,R1,KLN,KLN-W,Low,P2,White,3.25oz,Retrieved,1656,Halictidae,Augochlorella,aurata,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P2,White,3.25oz,Retrieved,1657,Megachilidae,Ashmeadiella,bucconis,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P2,White,3.25oz,Retrieved,1658,Halictidae,Dufourea,sp,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,High,P3,Blue,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
42,2018,6.04,R1,KLN,KLN-W,Low,P3,Blue,3.25oz,Retrieved,1659,Halictidae,Augochlorella,aurata,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P3,Blue,3.25oz,Retrieved,1660,Halictidae,Augochlorella,aurata,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P3,Blue,3.25oz,Retrieved,1661,Halictidae,Lasioglossum,Dialictus,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P3,Blue,3.25oz,Retrieved,1662,Halictidae,Agapostemon,virescens,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,High,P4,Yellow,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
42,2018,6.04,R1,KLN,KLN-W,Low,P4,Yellow,3.25oz,Retrieved,1663,Halictidae,Agapostemon,virescens,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,High,P5,White,3.25oz,Retrieved,1666,Halictidae,Halictus,ligatus,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,Low,P5,White,3.25oz,Retrieved,1664,Halictidae,Augochlorella,aurata,F,1,Y,
42,2018,6.04,R1,KLN,KLN-W,High,P6,Yellow,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
42,2018,6.04,R1,KLN,KLN-W,Low,P6,Yellow,3.25oz,Retrieved,1665,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1667,Halictidae,Lasioglossum,Dialictus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1668,Halictidae,Halictus,ligatus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1669,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1670,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1671,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P1,Blue,3.25oz,Retrieved,1672,Halictidae,Agapostemon,texanus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P1,Blue,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
43,2018,6.04,R1,KLN,KLN-C,High,P2,Yellow,3.25oz,Retrieved,1673,Halictidae,Halictus,ligatus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P2,Yellow,3.25oz,Retrieved,1674,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P2,Yellow,3.25oz,Retrieved,1675,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P2,Yellow,3.25oz,Retrieved,1676,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P2,Yellow,3.25oz,Retrieved,1677,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P2,Yellow,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
43,2018,6.04,R1,KLN,KLN-C,High,P3,Yellow,3.25oz,Retrieved,1678,Halictidae,Halictus,ligatus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P3,Yellow,3.25oz,Retrieved,1679,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P3,Yellow,3.25oz,Retrieved,1680,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P3,Yellow,3.25oz,Retrieved,1681,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P3,Yellow,3.25oz,Retrieved,1682,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P3,Yellow,3.25oz,Retrieved,1683,Halictidae,Halictus,ligatus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P3,Yellow,3.25oz,Retrieved,1684,Apidae,Eucera,hamata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P4,White,3.25oz,Retrieved,1685,Halictidae,Halictus,ligatus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P4,White,3.25oz,Retrieved,1686,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P4,White,3.25oz,Retrieved,1687,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P4,White,3.25oz,Retrieved,1688,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P4,White,3.25oz,Retrieved,1689,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P4,White,3.25oz,Retrieved,1690,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1691,Halictidae,Lasioglossum,Dialictus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1692,Halictidae,Lasioglossum,Dialictus,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1693,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1694,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1695,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1696,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1697,Halictidae,Agapostemon,virescens,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P5,Blue,3.25oz,Retrieved,1698,Megachilidae,Ashmeadiella,bucconis,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P5,Blue,3.25oz,Retrieved,1699,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,Low,P5,Blue,3.25oz,Retrieved,1700,Halictidae,Augochlorella,aurata,F,1,Y,
43,2018,6.04,R1,KLN,KLN-C,High,P6,White,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
43,2018,6.04,R1,KLN,KLN-C,Low,P6,White,3.25oz,Retrieved,1701,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P1,White,3.25oz,Retrieved,1702,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P1,White,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
44,2018,6.04,R1,KLN,KLN-E,High,P2,Blue,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
44,2018,6.04,R1,KLN,KLN-E,Low,P2,Blue,3.25oz,Retrieved,1703,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P3,Yellow,3.25oz,Retrieved,1704,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P3,Yellow,3.25oz,Retrieved,1705,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P3,Yellow,3.25oz,Retrieved,1706,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P3,Yellow,3.25oz,Retrieved,1707,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P3,Yellow,3.25oz,Retrieved,1708,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P3,Yellow,3.25oz,Retrieved,1709,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P3,Yellow,3.25oz,Retrieved,1710,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P3,Yellow,3.25oz,Retrieved,1711,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1712,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1713,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1714,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1715,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1716,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1717,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P4,Yellow,3.25oz,Retrieved,1718,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1719,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1720,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1721,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1722,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1723,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1724,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1725,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1726,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P4,Yellow,3.25oz,Retrieved,1727,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P5,White,3.25oz,Retrieved,1728,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P5,White,3.25oz,Retrieved,1729,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P5,White,3.25oz,Retrieved,1730,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P5,White,3.25oz,Retrieved,1731,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1732,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1733,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1734,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1735,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1736,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1737,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1738,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1739,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1740,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1741,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1742,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1743,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1744,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1745,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1746,Halictidae,Halictus,ligatus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,High,P6,Blue,3.25oz,Retrieved,1747,Halictidae,Agapostemon,virescens,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1748,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1749,Halictidae,Lasioglossum,Dialictus,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1750,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1751,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1752,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1753,Halictidae,Augochlorella,aurata,F,1,Y,
44,2018,6.04,R1,KLN,KLN-E,Low,P6,Blue,3.25oz,Retrieved,1754,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1755,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1756,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1757,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1758,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1759,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1760,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1761,Apidae,Ceratina,dupla,M,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P1,White,3.25oz,Retrieved,1762,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P1,White,3.25oz,Retrieved,1763,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1764,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1765,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1766,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1767,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1768,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1769,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1770,Halictidae,Dufourea,sp,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1771,Halictidae,Sphecodes,sp,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1772,Apidae,Ceratina,dupla,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1773,Apidae,Ceratina,dupla,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1774,Apidae,Ceratina,dupla,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1775,Halictidae,Halictus,ligatus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1776,Halictidae,Halictus,ligatus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1777,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1778,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1779,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P2,Blue,3.25oz,Retrieved,1780,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P2,Blue,3.25oz,Retrieved,1781,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1782,Megachilidae,Megachile,xylocopoides,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1783,Apidae,Ceratina,dupla,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1784,Halictidae,Halictus,ligatus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1785,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1786,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P3,Yellow,3.25oz,Retrieved,1787,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P3,Yellow,3.25oz,Retrieved,0,NA,X,x,X,0,NA,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1788,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1789,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1790,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1791,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1792,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1793,Halictidae,Sphecodes,sp,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1794,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,High,P4,Blue,3.25oz,Retrieved,1795,Halictidae,Agapostemon,virescens,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1796,Halictidae,Lasioglossum,Dialictus,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1797,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1798,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1799,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1800,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1801,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1802,Halictidae,Augochlorella,aurata,F,1,Y,
45,2018,6.04,R1,RIS,RIS-N,Low,P4,Blue,3.25oz,Retrieved,1803,Halictidae,Augochlorella,aurata,F,1,Y,
